,Default,Limit,Sex,Education,Marriage,Age,Debt1,Debt2,Debt3,Debt4,Debt5
0,1,20000,Female,University,Married,24,0,0,0,0,3102
1,1,120000,Female,University,Single,26,3261,2455,2272,1682,1725
2,0,90000,Female,University,Single,34,14549,13948,13331,12059,12509
3,0,50000,Female,University,Married,37,28478,27859,27114,47272,46233
4,0,50000,Male,University,Married,57,18442,10146,10940,-846,3670
5,0,50000,Male,Graduate,Single,37,19024,18619,18737,55793,54569
6,0,500000,Male,Graduate,Single,29,460194,462764,504653,405007,357023
7,0,100000,Female,University,Single,23,-1120,-740,221,0,0
8,0,140000,Female,High_School,Married,28,2719,10793,11779,12108,10767
9,0,20000,Male,High_School,Single,35,12790,0,0,0,0
10,0,200000,Female,High_School,Single,34,-7,1528,2463,5523,7481
11,0,260000,Female,Graduate,Single,51,13668,-14,-66,0,-148
12,0,630000,Female,University,Single,41,0,0,0,0,5500
13,1,70000,Male,University,Single,30,35394,33137,63782,65701,64169
14,0,250000,Male,Graduate,Single,29,52512,53875,56696,60561,64060
15,0,50000,Female,High_School,Others,23,28911,28331,27671,26616,29173
16,1,20000,Male,Graduate,Single,24,17454,17905,16838,17428,14810
17,0,320000,Male,Graduate,Married,49,0,-14144,-5866,184663,236178
18,0,360000,Female,Graduate,Married,49,0,0,0,0,0
19,0,180000,Female,Graduate,Single,29,0,0,0,0,0
20,0,130000,Female,High_School,Single,39,0,9802,19616,22952,24688
21,1,120000,Female,University,Married,39,0,0,0,0,0
22,1,70000,Female,University,Single,26,46012,43304,44006,41438,40438
23,1,450000,Female,Graduate,Married,40,0,0,0,0,-8
24,0,90000,Male,Graduate,Single,23,6247,5160,0,0,1313
25,0,50000,Male,High_School,Single,23,28984,28397,27966,34597,39837
26,1,60000,Male,Graduate,Single,27,-189,-373,-57,-741,-425
27,0,50000,Female,High_School,Single,30,18617,17431,16878,15863,14838
28,0,50000,Female,High_School,Married,47,0,0,-4,-5,0
29,0,50000,Male,Graduate,Single,26,9800,17375,16907,15996,15075
30,0,230000,Female,Graduate,Single,27,-369,0,0,-15,-5
31,1,50000,Male,University,Single,33,22680,22217,21734,20602,27900
32,0,100000,Male,Graduate,Single,32,72389,75499,77656,79369,81048
33,0,500000,Female,University,Married,54,8000,0,0,-105,0
34,0,500000,Male,Graduate,Married,58,0,0,0,-48,0
35,0,160000,Male,Graduate,Single,30,-2676,-2053,-1319,-923,-262
36,0,280000,Male,University,Married,40,171013,167501,164110,172362,173302
37,0,60000,Female,University,Single,22,-29011,-28335,3983,9550,8306
38,1,50000,Male,Graduate,Single,25,0,0,0,0,0
39,0,280000,Male,Graduate,Single,31,-48,9976,0,4641,0
40,0,360000,Male,Graduate,Single,33,151224,7129,622699,199895,211296
41,0,70000,Female,Graduate,Single,25,63170,62218,59657,59449,63999
42,0,10000,Male,University,Single,22,3451,3370,2576,3076,1684
43,0,140000,Female,University,Married,37,65802,63079,61280,59925,58544
44,0,40000,Female,Graduate,Single,30,26197,24636,25209,20921,18295
45,1,210000,Male,Graduate,Single,29,0,0,0,0,0
46,1,20000,Female,Graduate,Single,22,0,16341,-400,15800,13484
47,1,150000,Female,Others,Single,46,0,0,1170,0,2021
48,0,380000,Male,University,Single,32,-2,-2,7341,-4,0
49,0,20000,Male,Graduate,Single,24,19151,19552,19161,18161,17161
50,1,70000,Male,High_School,Single,42,37862,38659,37423,35255,36171
51,0,100000,Female,High_School,Others,43,31758,33762,38119,42218,49163
52,0,310000,Female,University,Married,49,0,0,0,0,-8
53,0,180000,Female,Graduate,Single,25,43529,42658,41748,40748,40442
54,0,150000,Female,Graduate,Single,29,14540,19542,25469,29716,33393
55,0,500000,Female,Graduate,Married,45,0,0,0,0,0
56,0,180000,Female,High_School,Married,34,-679,-1358,-358,6941,7293
57,0,180000,Female,University,Married,34,125102,127388,163355,165012,165357
58,0,200000,Female,Graduate,Single,34,214,700,466,782,1098
59,0,400000,Female,University,Married,29,352089,344656,330199,389176,381857
60,1,500000,Female,High_School,Married,28,13571,12827,13937,17578,22122
61,0,70000,Male,University,Married,39,-2170,12096,15518,67843,68035
62,1,50000,Male,Graduate,Single,29,27064,25442,25865,23891,24300
63,1,50000,Female,University,Married,46,0,0,0,0,28166
64,0,130000,Female,University,Married,51,0,0,0,0,0
65,1,200000,Male,Graduate,Married,57,7918,7898,-48,144076,148751
66,1,10000,Male,University,Married,56,4126,3996,3912,3978,1893
67,0,210000,Female,Graduate,Single,30,0,0,0,0,0
68,0,130000,Female,High_School,Single,29,0,10161,-9850,-9850,-9850
69,0,20000,Male,Others,Single,22,4982,10705,17085,16085,17204
70,0,80000,Male,Graduate,Single,31,0,0,0,0,0
71,1,320000,Male,University,Single,29,61126,57507,58622,57684,56746
72,0,200000,Female,University,Married,32,-14,3831,-3855,-699,-31
73,0,290000,Female,Graduate,Single,37,0,0,0,0,0
74,0,340000,Male,Graduate,Single,32,-129,-399,-23,-116,-163
75,0,20000,Male,University,Single,24,17043,16702,16366,16642,14366
76,0,50000,Male,High_School,Single,25,9030,9090,9316,34308,35466
77,0,300000,Female,Graduate,Married,45,0,0,0,0,0
78,1,30000,Female,University,Single,22,4646,23446,27444,28926,27926
79,1,240000,Female,University,Single,44,0,0,0,0,0
80,0,470000,Female,High_School,Others,33,28889,28311,66923,155136,151384
81,0,360000,Female,Graduate,Single,26,0,33100,30000,27000,23000
82,1,60000,Male,High_School,Single,30,18631,19131,21345,26895,25895
83,0,400000,Female,University,Married,44,90858,101990,101380,126816,128360
84,0,50000,Female,High_School,Single,49,18633,18643,19714,20187,46187
85,0,160000,Male,University,Single,33,115618,113907,38418,68387,103408
86,1,360000,Female,Graduate,Married,45,0,0,390,780,0
87,0,160000,Female,University,Single,32,0,7072,6604,4604,3604
88,0,130000,Female,Graduate,Married,35,0,0,0,12740,77866
89,0,20000,Male,High_School,Single,44,11970,10314,9488,8000,8303
90,1,200000,Male,Graduate,Married,53,144531,141624,138598,136960,134474
91,0,280000,Female,Graduate,Single,39,0,0,3868,0,0
92,0,100000,Female,Graduate,Single,27,0,0,0,0,-2000
93,0,160000,Female,University,Married,37,0,0,0,0,0
94,0,60000,Female,University,Single,23,18507,18519,18913,45913,44913
95,0,90000,Male,University,Single,35,29731,29830,34386,84056,82375
96,0,360000,Male,Graduate,Married,43,9956,-630,-6451,0,-17
97,0,150000,Male,Graduate,Single,27,39090,83685,86509,79000,82077
98,0,50000,Female,High_School,Married,22,7578,8585,12771,15803,16749
99,1,20000,Male,University,Married,38,0,16178,17614,18099,17668
100,0,140000,Male,Graduate,Single,32,0,0,0,0,0
101,0,380000,Female,Graduate,Single,30,32806,32367,31720,-703,-526
102,0,480000,Male,Graduate,Married,63,451961,471145,470066,423739,415264
103,1,50000,Female,High_School,Single,22,23099,22637,31494,36985,40487
104,0,60000,Female,University,Single,26,52305,55441,57707,54175,55208
105,0,70000,Female,University,Single,24,0,0,0,0,0
106,0,80000,Female,University,Married,36,0,0,0,-2,0
107,0,350000,Male,Graduate,Single,52,0,0,0,0,0
108,0,130000,Male,University,Single,38,-7273,39561,-13174,39940,167474
109,0,360000,Male,University,Married,35,-103,-103,-103,-103,-103
110,0,330000,Female,Graduate,Married,31,91495,102391,102303,105594,99171
111,0,50000,Male,High_School,Married,47,16393,15671,14928,14181,12722
112,0,280000,Male,University,Married,41,149415,137324,130147,134813,132032
113,0,100000,Female,Graduate,Single,24,56713,55020,53000,51800,50692
114,0,50000,Male,University,Single,41,19233,19593,19574,18954,17954
115,1,30000,Male,Graduate,Single,24,20201,20692,18319,17319,17618
116,0,240000,Male,Graduate,Single,28,0,0,0,0,0
117,1,80000,Male,University,Single,26,17186,16629,16055,14930,13493
118,0,400000,Male,University,Married,34,0,0,0,0,-11
119,0,240000,Female,University,Single,38,0,0,49479,50015,49445
120,1,50000,Male,High_School,Single,37,48343,47918,47851,44918,44976
121,1,450000,Male,Graduate,Married,40,0,0,0,0,0
122,0,110000,Female,Graduate,Married,48,0,0,0,0,0
123,1,310000,Female,University,Married,35,192056,237892,250203,295186,298224
124,0,20000,Male,Graduate,Single,27,15317,18856,18778,18168,17558
125,0,20000,Male,University,Single,23,0,0,0,0,0
126,0,200000,Male,High_School,Single,52,101324,99298,97312,95366,95962
127,1,180000,Male,Graduate,Married,36,93710,95611,93699,96588,111767
128,1,50000,Male,University,Married,51,5877,4875,4047,3437,2899
129,0,60000,Male,High_School,Married,55,25447,28310,27653,57237,58946
130,0,30000,Female,Graduate,Single,23,-5,-27,-54,0,0
131,0,240000,Male,Graduate,Single,41,0,0,3164,0,0
132,0,420000,Male,University,Married,34,180855,202776,213348,219496,237999
133,0,330000,Male,High_School,Married,46,219812,219600,219562,221549,220509
134,0,30000,Female,University,Single,22,-780,17103,25350,25312,24145
135,0,240000,Male,University,Married,34,13891,13158,13269,11881,10535
